doi,footnote,subset,author/s,title,label,paragraph
https://doi.org/10.1093/ehr/cead024,15,1,Young,Colonial Office,1,"The architect of imperial transformation through inquiry, and the real founder of the nineteenth-century Colonial Office, was the self-effacing Henry Bathurst, third earl Bathurst (secretary of state for war and the colonies, 1812–27). When Bathurst resigned his cabinet position after George Canning became prime minister in 1827, Palmerston (writing in the bitterness of the Catholic emancipation debates of 1826) dismissed him as one of the ‘old stumped-up Tories’.14 Yet the man himself was far more complex than this suggests, and historians have rightly emphasised Bathurst’s shrewdness.15 Like the topic of empire more generally, Bathurst himself is frequently absent from political histories of Liverpool’s ministry. Yet his organisation of the Colonial Office is emblematic of the cautious pragmatism that characterised the reforms of global import that were enacted across this period.16"
https://doi.org/10.1093/ehr/cead024,15,2,N.D. McLachlan,"Bathurst at the Colonial Office, 1812–27: A Reconnaissance",1,"The architect of imperial transformation through inquiry, and the real founder of the nineteenth-century Colonial Office, was the self-effacing Henry Bathurst, third earl Bathurst (secretary of state for war and the colonies, 1812–27). When Bathurst resigned his cabinet position after George Canning became prime minister in 1827, Palmerston (writing in the bitterness of the Catholic emancipation debates of 1826) dismissed him as one of the ‘old stumped-up Tories’.14 Yet the man himself was far more complex than this suggests, and historians have rightly emphasised Bathurst’s shrewdness.15 Like the topic of empire more generally, Bathurst himself is frequently absent from political histories of Liverpool’s ministry. Yet his organisation of the Colonial Office is emblematic of the cautious pragmatism that characterised the reforms of global import that were enacted across this period.16"
https://doi.org/10.1093/ehr/cead024,15,3,T.P. Woods,"Lord Bathurst’s Policy at the Colonial Office, 1812–1821, with Particular Reference to New South Wales and the Cape Colony",1,"The architect of imperial transformation through inquiry, and the real founder of the nineteenth-century Colonial Office, was the self-effacing Henry Bathurst, third earl Bathurst (secretary of state for war and the colonies, 1812–27). When Bathurst resigned his cabinet position after George Canning became prime minister in 1827, Palmerston (writing in the bitterness of the Catholic emancipation debates of 1826) dismissed him as one of the ‘old stumped-up Tories’.14 Yet the man himself was far more complex than this suggests, and historians have rightly emphasised Bathurst’s shrewdness.15 Like the topic of empire more generally, Bathurst himself is frequently absent from political histories of Liverpool’s ministry. Yet his organisation of the Colonial Office is emblematic of the cautious pragmatism that characterised the reforms of global import that were enacted across this period.16"
https://doi.org/10.1093/ehr/cead024,15,4,N. Thompson,"Earl Bathurst and the British Empire, 1762–1834",1,"The architect of imperial transformation through inquiry, and the real founder of the nineteenth-century Colonial Office, was the self-effacing Henry Bathurst, third earl Bathurst (secretary of state for war and the colonies, 1812–27). When Bathurst resigned his cabinet position after George Canning became prime minister in 1827, Palmerston (writing in the bitterness of the Catholic emancipation debates of 1826) dismissed him as one of the ‘old stumped-up Tories’.14 Yet the man himself was far more complex than this suggests, and historians have rightly emphasised Bathurst’s shrewdness.15 Like the topic of empire more generally, Bathurst himself is frequently absent from political histories of Liverpool’s ministry. Yet his organisation of the Colonial Office is emblematic of the cautious pragmatism that characterised the reforms of global import that were enacted across this period.16"
https://doi.org/10.1093/ehr/cead024,15,5,J. Ritchie,"Punishment and Profit: The Reports of Commissioner John Bigge on the Colonies of New South Wales and Van Diemen’s Land, 1822–1832",1,"The architect of imperial transformation through inquiry, and the real founder of the nineteenth-century Colonial Office, was the self-effacing Henry Bathurst, third earl Bathurst (secretary of state for war and the colonies, 1812–27). When Bathurst resigned his cabinet position after George Canning became prime minister in 1827, Palmerston (writing in the bitterness of the Catholic emancipation debates of 1826) dismissed him as one of the ‘old stumped-up Tories’.14 Yet the man himself was far more complex than this suggests, and historians have rightly emphasised Bathurst’s shrewdness.15 Like the topic of empire more generally, Bathurst himself is frequently absent from political histories of Liverpool’s ministry. Yet his organisation of the Colonial Office is emblematic of the cautious pragmatism that characterised the reforms of global import that were enacted across this period.16"
https://doi.org/10.1093/ehr/cead024,15,6,Laidlaw,Colonial Connections,1,"The architect of imperial transformation through inquiry, and the real founder of the nineteenth-century Colonial Office, was the self-effacing Henry Bathurst, third earl Bathurst (secretary of state for war and the colonies, 1812–27). When Bathurst resigned his cabinet position after George Canning became prime minister in 1827, Palmerston (writing in the bitterness of the Catholic emancipation debates of 1826) dismissed him as one of the ‘old stumped-up Tories’.14 Yet the man himself was far more complex than this suggests, and historians have rightly emphasised Bathurst’s shrewdness.15 Like the topic of empire more generally, Bathurst himself is frequently absent from political histories of Liverpool’s ministry. Yet his organisation of the Colonial Office is emblematic of the cautious pragmatism that characterised the reforms of global import that were enacted across this period.16"
https://doi.org/10.1093/ehr/cead024,15,7,K. McKenzie,Imperial Underworld: An Escaped Convict and the Transformation of the British Colonial Order,1,"The architect of imperial transformation through inquiry, and the real founder of the nineteenth-century Colonial Office, was the self-effacing Henry Bathurst, third earl Bathurst (secretary of state for war and the colonies, 1812–27). When Bathurst resigned his cabinet position after George Canning became prime minister in 1827, Palmerston (writing in the bitterness of the Catholic emancipation debates of 1826) dismissed him as one of the ‘old stumped-up Tories’.14 Yet the man himself was far more complex than this suggests, and historians have rightly emphasised Bathurst’s shrewdness.15 Like the topic of empire more generally, Bathurst himself is frequently absent from political histories of Liverpool’s ministry. Yet his organisation of the Colonial Office is emblematic of the cautious pragmatism that characterised the reforms of global import that were enacted across this period.16"
https://doi.org/10.1093/ehr/cead024,109,1,Lester,Imperial Networks,1,"To scholars of empire, it seems unfathomable that British historians can still talk about constitutional change in Britain as if it were not involved in the governance of millions of souls across the seas. In some respects, however, this myopia is reasonable. Parliamentarians argued much more about the Corn Laws or Catholic emancipation than they did about Crown rule or even slavery in the empire. In any case, as has been recently pointed out, the narrow gaze of scholars working on the intricate pathways of politics in Britain is reciprocated.108 Despite more than a decade passing since the pioneering work of Zoë Laidlaw and Alan Lester, many scholars of empire still ignore the fact that the domestic political landscape had an impact on their concerns.109 To employ Tony Ballantyne’s metaphor, they write about webs of empire without paying due attention to the spider at its centre.110"
https://doi.org/10.1093/ehr/cead024,109,2,Laidlaw,Colonial Connections,1,"To scholars of empire, it seems unfathomable that British historians can still talk about constitutional change in Britain as if it were not involved in the governance of millions of souls across the seas. In some respects, however, this myopia is reasonable. Parliamentarians argued much more about the Corn Laws or Catholic emancipation than they did about Crown rule or even slavery in the empire. In any case, as has been recently pointed out, the narrow gaze of scholars working on the intricate pathways of politics in Britain is reciprocated.108 Despite more than a decade passing since the pioneering work of Zoë Laidlaw and Alan Lester, many scholars of empire still ignore the fact that the domestic political landscape had an impact on their concerns.109 To employ Tony Ballantyne’s metaphor, they write about webs of empire without paying due attention to the spider at its centre.110"
https://doi.org/10.1093/ehr/cead003,133,1,"L. Abrams, A. Kearns, B. Hazley and V. Wright","Glasgow: High-Rise Homes, Estates and Communities in the Post-War Period",1,"As the cases, statistics and memoirs from the 1950s suggest, ongoing rationing and price control measures ensured that the market for stolen goods had not necessarily disappeared, despite the arrival of the post-1945 welfare state.130 At the same time, it may have become riskier and less profitable to deal in illicit goods as more families were relocated into new housing estates from the 1960s onwards. Charles Jenkins, born in Liverpool in 1937, described his experience of living in a terraced house in the city in 1943–4, where ‘if something got stolen, you knew who had done it’. When his family were rehoused to the city’s outskirts in the 1960s, ‘you did not know people. You did not know whether they were nice or a crook. There were different people from all over’.131 Yet Jon Lawrence has challenged the idea of community decline in post-war Britain and argues that it existed in two competing and overlapping ways, both in the mind and also as small, everyday interactions.132 Recent scholarship on flatted estates in Glasgow suggests that the impact of housing redevelopment on communities was complex. Rather than ‘the enforced communality characteristic’ of tenements, it produced new forms of relationships between neighbours that ‘were increasingly personalised and voluntaristic’.133 These new forms of community possibly undermined the structures that had allowed the buying and selling of stolen goods to take place—but we need to know more about how these new forms of housing may have facilitated different opportunities for offences by women. Wider post-war changes included an increase in the numbers of married women being employed outside the home, which perhaps also negated the need or opportunity for these kinds of offences.134 Nevertheless, criminological studies from the late 1990s note that receivers of stolen goods at that time typically sold items to close networks of friends and neighbours through pre-arranged meetings, in places considered to be private, such as the home and workplace, suggesting important similarities with the earlier practices uncovered here.135 New commercial cultures also emerged that privileged the theft of cars, televisions and money and which may have challenged women’s expertise in home-based crimes. Yet for working-class women, there may have been new opportunities to use minor crime to challenge the continued social inequities they experienced. For example, the new welfare state created different forms of fraudulent offences, perhaps especially tempting for women, particularly relating to the exploitation of Family Allowance payments, which requires further exploration."
