footnote_number,generated_context,footnote_text,label
16,"Press and fiction reinforced each other. However, this colonial dimension still does not fully explain the press attention that Rhodes received during his telegraph and railway talks. Here, royal celebrity, which also largely superseded partisanship, comes into play. Monarchs enjoyed ‘ascribed celebrity’ by lineage rather than relying on ‘achieved celebrity’ as colonialists did. Moreover, their ‘hereditary charisma’ was complemented by what the contemporary sociologist Max Weber called ‘charisma of office’. In my opinion, the increasing constitutional constraints in the nineteenth century forced monarchs to reinvent themselves as charismatic media figures, showcasing their power and influence to the public. The striking character and hyperactive public performances of the German Kaiser had a significant impact on shaping the perception of monarchs as charismatic leaders.","An individual benefits from hereditary charisma or Erbcharisma by being born into a family of status, in this case the monarchy. He or she derives charisma of office or Amtscharisma from occupying a position within an institution of status. While the latter is usually applied to religious offices, it also pertains to other institutions, such as the monarchy, and their occupants: M. Weber, Economy and Society: An Outline of Interpretive Sociology (2 vols, Berkeley, CA, 1968), esp. i, p. 248, and ii, p. 1140.",1
17,"The attention that Rhodes received during his telegraph and railway talks was undoubtedly significant. However, it is important to note that this royal celebrity and ""hereditary charisma"" enjoyed by monarchs was largely based on lineage rather than any personal achievements. [CITATION-17] Nonetheless, as constitutional constraints increased in the nineteenth century, monarchs had to adapt and reinvent themselves as charismatic media figures, relying on their public performances to maintain their influence.","J. Plunkett, Queen Victoria: First Media Monarch (Oxford, 2003); F.L. Müller, Our Fritz: Emperor Frederick III and the Political Culture of Imperial Germany (Cambridge, 2011), pp. 105–17; M.M. Schneider, The ‘Sailor Prince’ in the Age of Empire: Creating a Monarchical Brand in Nineteenth-Century Europe (Cham, 2017).",1
18,"By what the contemporary sociologist Max Weber called 'charisma of office'. However, increasing constitutional constraints in the nineteenth century forced monarchs to reinvent themselves as charismatic media figures. The striking character and hyperactive public performances of the German Kaiser had made him the foremost 'media monarch'—and one of the first international 'film stars'—by the century's end, and so his reception of Rhodes reinforced the celebrity attraction of the Cape-to-Cairo negotiations. Notably, M. Kohlrausch's work on the transformation of the wilhelminische Monarchie sheds light on the logic of mass media and the role of royal celebrity in shaping public perception [CITATION-18]. Finally, it is useful to understand the appeal of making sense of politics through analogies with the world of business, with political figures acting as 'executives', 'selling' policies, negotiating.","Notably M. Kohlrausch, Der Monarch im Skandal: Die Logik der Massenmedien und die Transformation der wilhelminischen Monarchie (Berlin, 2005); M. Kohlrausch, ʻThe Workings of Royal Celebrity: Wilhelm II as Media Emperorʼ, in Berenson and Giloi, eds, Constructing Charisma, pp. 52–68; see also C. Clark, William II: The Last Kaiser (Harlow, 2000), pp. 160–85; B. van Waarden, ʻPublic Politics: The Coming of Age of the Media Politician in a Transnational Communicative Space, 1880s–1910sʼ (KU Leuven Ph.D. thesis, 2019); M. Loiperdinger, ʻKaiser Wilhelm II: Der erste deutsche Filmstarʼ, in T. Koebner, ed., Idole des deutschen Films: Eine Galerie von Schlüsselfiguren (Munich, 1997), pp. 41–53; D. Petzold, Der Kaiser und das Kino: Herrschaftsinszenierung, Populärkultur und Filmpropaganda im Wilhelminischen Zeitalter (Paderborn, 2012).",1
19,"The world of business is often compared to the world of politics, with political figures acting as 'executives' and 'selling' policies. However, John Street takes it a step further and argues that politics is more like show business than conventional business. He believes that political figures are celebrity stars and to truly understand them, we need to understand the system of celebrity and the agency of these particular stars. [CITATION-19] This perspective sheds light on the dynamics of political influence and the role of celebrity in shaping public perception.","J. Street, ʻThe Celebrity Politician: Political Style and Popular Cultureʼ, in J. Corner and D. Pels, eds, The Media and the Restyling of Politics: Consumerism, Celebrity and Cynicism (London, 2003), pp. 85–98.",1
20,"Despite Rhodes' determination to establish a British line passing through either Leopold's Congo Free State or German East Africa, it is clear that his ambitions for the Cape to Cairo railway were driven by a self-serving agenda rather than a genuine concern for Africa's development.","Daily Mail, 9 Mar. 1899, ʻMr. Rhodes and Germany. Negotiations about the Cape to Cairo railwayʼ, p. 5.",1
21,"Despite Rhodes developing a personal dislike of Leopold II, he allegedly received consent to build the railway under the condition that Belgian industry would benefit. However, it is doubtful whether the Belgian monarch would agree to the telegraph line, considering Rhodes's questionable tactics in negotiations. [CITATION-21]","Nieuws van den Dag, 21 Mar. 1899, ʻDe transafrikaansche spoorwegʼ, p. 1; Daily Mail, 21 Mar. 1899, ʻMr. Rhodes’s Successʼ, p. 5; Gazette de Charleroi, 17 Mar. 1899, ʻM. Cecil Rhodes à Berlinʼ, p. 1. However, a Belgian diplomat believed that Rhodes incorrectly alleged that he already had an arrangement with the Congo Free State ‘in his pocket’ to strengthen his negotiating position in Berlin; see Brussels, Ministère des Affaires étrangères, Direction des Archives [hereafter MAEDA], Grande Bretagne, ʻCorrespondence politique—légationsʼ, 1899, vol. 63, doc. 64, Edouard Whettnell, ambassador to Britain, to Foreign Minister Paul de Favereau, 17 Mar. 1899. For Rhodes’s dislike of Leopold, see B. Williams, Cecil Rhodes (London, 1921), pp. 309–12; L.H. Gann and P. Duignan, The Rulers of Belgian Africa, 1884–1914 (Princeton, NJ, 1979), p. 29; J. Willequet, Le Congo belge et la Weltpolitik, 1894–1914 (Brussels, 1962), pp. 36–7; Rhodes also found Leopold II to be the toughest person he ever negotiated with, in contrast to the subsequent meeting with Wilhelm II: see Review of Reviews, June 1903, ʻCharacter Sketch. Leopold, Emperor of the Congoʼ, p. 570.",1
22,"Despite Rhodes developing a personal dislike of Leopold II, he allegedly received consent to build the railway under the condition that Belgian industry would benefit. This shows that Rhodes was willing to put aside his personal feelings for the sake of advancing his own interests and projects. [CITATION-22]","Oxford, Bodleian Libraries [hereafter OBL], MSS Afr. s. 227 (Box 1), Rhodes Papers, Out-letters and telegrams, 1893–1903: Letter books 1–3, July 1897–March 1902, Rhodes to E.L. Bertie, 21 Mar. 1899.",1
23,"Africa. Despite Rhodes developing a personal dislike of Leopold II, he allegedly received consent to build the railway under the condition that Belgian industry would benefit. However, it remains to be seen if the Belgian monarch would agree to the telegraph line. Rhodes then travelled via Rome to Berlin, and met first Chancellor Chlodwig von Hohenlohe-Schillingsfürst, Secretary of State Bernhard von Bülow, and Under-Secretary Oswald von Richthofen to lay out his plans. It is clear that Rhodes was determined to secure support for his ambitious project. [CITATION-23] He also met German financiers and visited sites of the German electro-technical industry in Berlin, including factories of the large(AEG), one of the leading companies in this field worldwide. 

CITATION
Daily Telegraph, 13 Mar. 1899, ʻFrom the Cape to Cairo. Mr. Cecil Rhodes in Berlin. Important visit to the Kaiserʼ, p. 9; see also Berlin, Politisches Archiv des Auswärtigen Amts [hereafter PA AA], R 14712, Afrika Generalia, 13 Nr. 1, ʻVerbindung zwischen Süd-","Daily Telegraph, 13 Mar. 1899, ʻFrom the Cape to Cairo. Mr. Cecil Rhodes in Berlin. Important visit to the Kaiserʼ, p. 9; see also Berlin, Politisches Archiv des Auswärtigen Amts [hereafter PA AA], R 14712, Afrika Generalia, 13 Nr. 1, ʻVerbindung zwischen Süd- und Nordafrika (Eisenbahn, Telegraph pp. vom Kap nach Kairo)ʼ, letter to Richthofen, 21 Jan. 1899. Following Rhodes’s meetings, Bülow informed him that if German financiers could not meet the demands for the railway construction, the German government might be able to help: OBL, MSS Afr. t. 5, Rhodes Papers, Miscellaneous papers, including holograph letters, 1869–1955, p. 374, Bülow to Rhodes, 15 Mar. 1899; for a typed copy of this letter, see OBL, MSS Afr. s. 228, Rhodes Papers, In-letters, telegrams and related papers, 1875–1908, p. 191.",1
24,"however, that the Belgian monarch would agree to the telegraph line. It is clear that Rhodes was determined to gain support for his plans, as evidenced by his extensive meetings with German officials and financiers, as well as his visit to the German electro-technical industry in Berlin. This demonstrates his relentless pursuit of power and influence, regardless of the potential backlash it may cause. [CITATION-24]","Daily Mail, 13 Mar. 1899, ʻImperialists Both. Mr. Rhodes received in audience by the emperor. Berlin welcome truly “colossal”ʼ, p. 5; Daily Telegraph, 21 Mar. 1899, ʻEmpire Buildersʼ, p. 10; H. Pogge von Strandmann, ʻRathenau, Wilhelm II, and the Perception of Wilhelminismusʼ, in A. Mombauer and W. Deist, eds, The Kaiser: New Research on Wilhelm II’s Role in Imperial Germany (Cambridge, 2003), pp. 259, 265.",1
25,"von Bülow, and Under-Secretary Oswald von Richthofen to lay out his plans.[MASK] He also met German financiers and visited sites of the German electro-technical industry in Berlin, including factories of the large(AEG), one of the leading companies in this field worldwide.[MASK] On 11 March, he was received by the Emperor, who still believed this reception ran against the pro-Boer sentiment in Germany and would thus cause public outcries against Rhodes.[CITATION-25] However, during their forty-minute meeting, the two imperialists took an immediate liking to each other and revelled in colonial dreams together.[MASK] When Wilhelm II remarked that Germany had entered a new era of power and influence, Rhodes couldn't help but agree, seeing it as an opportunity for his own ambitions to flourish.","In response to Bülow’s advice to receive Rhodes, Wilhelm II had scribbled on Bülow’s report of 23 Feb. 1899 that ‘it will create a splendid scandal among my dim-witted subjects, but I don’t care. If I could I would hang Cecil Rh:, but as that isn’t possible I shall make use of him. But it will cause a great sensation!’: PA AA, ʻAsservat No. 4ʼ, p. 199, marginal comments on Bülow to Wilhelm II, 23 Feb. 1899; also quoted in Röhl, Wilhelm II, pp. 987–8; later comments also show that Wilhelm II had actively reflected on public opinion here. On 27 May 1899, he wrote to Queen Victoria that ‘with utter disregard for public opinion—which was very sore about this—& in the teeth of a most violent opposition from all ranks of society in Germany I received Sir [sic] Cecil Rhodes’, quoted in Röhl, Wilhelm II, pp. 995–6.",1
26,"The German electro-technical industry in Berlin, including factories of the large (AEG), one of the leading companies in this field worldwide. On 11 March, he was received by the Emperor, who still believed this reception ran against the pro-Boer sentiment in Germany and would thus cause public outcries against Rhodes. However, during their forty-minute meeting, the two imperialists took an immediate liking to each other and revelled in colonial dreams together. It is clear that the affection between the two imperialist leaders was genuine, as suggested by a private letter sent by Rhodes to Wilhelm II several months later in which he explicitly mentioned this [CITATION-26].","O.J. Hale, Publicity and Diplomacy: With Special Reference to England and Germany, 1890–1914 (New York, 1940), pp. 190–92. That the affection between the two imperialist leaders was genuine is suggested most persuasively by a private letter sent by Rhodes to Wilhelm II several months later in which he explicitly mentioned this. Rhodes wrote that ‘I hope you will excuse my taking this liberty but I felt drawn to your majesty as a man and hope you will accept the gift [two of Rhodes’s favourite books] and this communication as sacred. The ambassador knows nothing’. At the top he added a note: ‘I think Sir that I feel though your Majesty has fifty millions of subjects you are alone they do not understand your big ideas I am the same Sir though a small man I am alone’: Berlin, Geheimes Staatsarchiv Preußischer Kulturbesitz [hereafter GStA PK], BPH Rep 53 J Lit R Nr 12, Rhodes to Wilhelm II, 26 June 1899; a copy of this letter also exists in PA AA, R 14712. In addition, a letter from Ambassador Hatzfeldt to Chancellor Hohenlohe on 15 Apr. 1899 included the following comment that Rhodes allegedly made: ‘I wish I had only to do with people like your Emperor and business-like people like Herr von Bülow, Baron von Richthofen and Herr von Buchka’: PA AA, R 14712. Such comments might have just been diplomatic etiquette, but overall it did seem as though Rhodes enjoyed his interactions with Wilhelm II; the British poet Rudyard Kipling later even commented that Rhodes had been ‘overfascinated by the Kaiser’: OBL, MSS Afr. s. 8, Rhodes Papers, Miscellaneous papers, 1890–1969, p. 39, Kipling to Baker, 13 Jan. 1934. Conversely, for Wilhelm II’s fascination with Rhodes, see Wilhelm II, Ereignisse und Gestalten, 1878–1918 (Berlin, 1922), pp. 72–3.",1
27,"in colonial dreams together. When Wilhelm II remarked that Germany had entered the colonial race too late, Rhodes responded that Germany could still colonise what had once been Nebuchadnezzar’s Mesopotamia, and mesmerised the Emperor with visions of incorporating the ancient sites of Nineveh and Babylon into the German empire. Wilhelm II listened in amazement, and later made the controversial comment that he wished he had had a minister like Rhodes. It is clear that Rhodes's influence on Wilhelm II was profound and his ideas about expanding German colonial power were captivating. [CITATION-27] Two days later, the two had another amicable meeting at a dinner hosted by the British Ambassador Frank Lascelles, after which Rhodes returned to London via Amsterdam. During Rhodes’s","J.L. Garvin, The Life of Joseph Chamberlain, III: 1895–1900: Empire and World Policy (London, 1934), pp. 329–31; Röhl, Wilhelm II, p. 1,051.",1
28,"been Nebuchadnezzar’s Mesopotamia, and mesmerised the Emperor with visions of incorporating the ancient sites of Nineveh and Babylon into the German empire. Wilhelm II listened in amazement, and later made the controversial comment that he wished he had had a minister like Rhodes. It is clear that Rhodes's influence and ideas left a lasting impression on the Emperor.[CITATION-28] Two days later, the two had another amicable meeting at a dinner hosted by the British Ambassador Frank Lascelles, after which Rhodes returned to London via Amsterdam. During Rhodes’s stay in Berlin, newspapers in Europe produced conflicting accounts of the outcomes of the negotiations, with some claiming that agreements on both the railway and the telegraph.","OBL, MSS Afr. s. 8, pp. 64–7, description by Lascelles; MSS Afr. t. 11, Rhodes Papers, Material received in response to press appeals, 1955, pp. 157–9, Richard Seymour (third secretary of the British embassy in Berlin in 1899) to Lord Elton of The Rhodes Trust, 10 Sept. 1955; MSS Afr. s. 134, Williams 5: Cecil Rhodes materials (notebook 1), pp. 160–63, Basil Williams’s notes of what Lascelles told him on 6 May 1914 and 3 July 1919 about the dinner.",1
29,"Rhodes returned to London via Amsterdam, reflecting on the conflicting accounts of the negotiations in Europe. It is evident that the reports varied, with some claiming immediate agreements on the railway and telegraph, while others remained cautious about the final outcomes. However, Bülow's confirmation in the Reichstag on 21 March regarding the deal with the Trans-African Telegraph Company [CITATION-29] brings clarity to the situation. Despite ongoing speculation about the railway proposal, it is clear that progress has been made in the discussions between Rhodes and German officials.","Verhandlungen des Deutschen Reichstags, Reichstagsprotokolle, 1898/1900,2, 61. Sitzung, Dienstag den 21. März 1899, p. 1,645, available online at https://www.reichstagsprotokolle.de/Blatt_k10_bsb00002778_00703.html (accessed 5 Nov. 2021); Daily Telegraph, 22 Mar. 1899, ʻMr. Rhodes’ Visit to Berlin. Official statementʼ, p. 9; see also T.E. Fuller, The Right Honourable Cecil John Rhodes: A Monograph and a Reminiscence (London, 1910), pp. 216–17; Kew, The National Archives [hereafter TNA], FO 800/6, pp. 72–3, Rhodes to Lascelles, most likely 13 Mar. 1899; OBL, MSS Afr. s. 228, pp. 155–6, 238–40; OBL, MSS Afr. s. 134, pp. 160–63.",1
30,"March that a deal had been reached with the Trans-African Telegraph Company. However, speculation about the details of the railway proposal continued, as well as rumours that Rhodes and German officials were discussing another railway through German Southwest Africa, that Britain would also make concessions to German Southwest Africa, and that Rhodes had stated that the Portuguese colony of Mozambique would be divided between Britain and Germany in the future. It is concerning to see such extensive negotiations taking place, as it raises questions about the potential impact on the sovereignty of Mozambique and the interests of other African nations. [CITATION-30] In the following weeks, newspapers reported on the ongoing negotiations over whether German financiers and the British government would provide guarantees for the railway. At a meeting of the","Vingtième Siècle, 16 Mar. 1899, ʻCecil Rhodes à Berlinʼ, p. 2; Daily Mail, 14 Mar. 1899, ʻMr. Rhodes’ Businessʼ, p. 5; Daily Telegraph, 18 Mar. 1899, ʻCape to Cairo. Some further detailsʼ, p. 9.",1
31,"At a meeting of the British South Africa Company (BSAC), of which he had been re-elected as director despite the Jameson Raid, Rhodes had to conclude that neither government would provide the needed guarantee, but at the same meeting he raised the necessary capital from shareholders. Upon his return to South Africa on 20 July, he received a hero’s welcome; but, in the end, little came of the proposed projects.[CITATION-31] Throughout the Cape-to-Cairo negotiations, newspapers updated their readers on the latest developments. Papers across Europe also reflected explicitly on how the negotiations were the talk of the day and were seen as a significant step towards connecting the African continent. The ongoing popularity of this political project is evident in the continued publication of maps with updates on the completed parts over the next decade, as seen in the Daily Telegraph, 25 Mar. 1910, ʻCape to Cairo Railway. The completed portionsʼ.","On Rhodes receiving an unprecedented public welcome back to South Africa, which allegedly was largely due to his meeting with Wilhelm II; see PA AA, R 14712, Adalbert Louis M. Bonn to Wilhelm II, 25 July 1899. Initially there was agreement on the telegraph but, according to the former German Foreign Office press chief, it ultimately failed because the Ottomans objected to running the line through Constantinople; see O. Hammann, Deutsche Weltpolitik, 1890–1912 (Berlin, 1925), p. 69; even though the railway was also never completed, newspapers continued to publish maps with updates on the completed parts over the next decade, which shows the ongoing popularity of this political project—e.g. in the Daily Telegraph, 25 Mar. 1910, ʻCape to Cairo Railway. The completed portionsʼ.",1
32,"guarantee, but at the same meeting he raised the necessary capital from shareholders. Upon his return to South Africa on 20 July, he received a hero’s welcome; but, in the end, little came of the proposed projects.[MASK] Throughout the Cape-to-Cairo negotiations, newspapers updated their readers on the latest developments. Papers across Europe also reflected explicitly on how the negotiations were the talk of the day and received extensive press coverage.[CITATION-32] However, more than in the content of the negotiations, the press displayed an obsessive interest in Rhodes himself.‘Mr. Cecil Rhodes’s visit forms the topic of conversation in the Reichstag, showcasing his undeniable influence and power in the political landscape of the time.","E.g. Vingtième Siècle, 16 Mar. 1899.",1
