footnote,author,title,label
74,Morning Chronicle,17 Sept. 1825,1
74, TNA,CO 137/176,1
74,", for example",The Examiner,1
74,", Report of the Trial of Mr John Murray in the Court of King’s Bench",at Westminster Hall,1
75,TNA,CO 137/176,0
76,TNA,CO 320/4,1
77,J. Peires,‘The British and the Cape,0
77, J. Sturgis,‘Anglicisation at the Cape of Good Hope in the Early Nineteenth Century’,0
78,Pressure of work would see them joined by a third commissioner,William Blair,0
79,Hansard,2nd ser.,1
80,R. Vigne,Thomas Pringle: South African Pioneer,0
80,and R. Vigne,ed.,0
81,A.K. Millar,Plantagenet in South Africa: Lord Charles Somerset ,1
82,Roberts,‘Somerset and the “Beaufort Influence”’,0
83,Hansard,2nd ser.,1
84,and McKenzie,‘“The Laws of his Own Country”: Defamation,1
85,BL,Bathurst Papers,1
87,See,for example,1
87,Report of Coms. of Inquiry into Truth of Memorial,BPP,1
88,", for example",The Times,1
88,Morning Post,25 Aug. 1826,1
88,8 Dec. 1826,vol. 16,1
88,5 July 1825,vol. 13,1
88, Hansard,2nd ser.,1
88,Morning Chronicle,24 Aug. 1826,1
88,8 May 1826,vol. 15,1
88,22 June 1825,vol. 13,1
88,7 Dec. 1826,vol. 16,1
88,Mr. Bishop Burnett at Cape of Good Hope,passim. Burnett’s chief advocates were Henry Brougham and Joseph Hume. BL,1
89,Mr. Bishop Burnett at Cape of Good Hope,pp. 37,1
90,Hansard,2nd ser.,0
91,BL,Bathurst Papers,0
92,BL,Bathurst Papers,0
93,also BL,Bathurst Papers,0
93,As,for example,0
94,29 June 1827,vol. 17,0
94,5 July 1825,vol. 13,0
94,27 May 1825,vol. 13,0
94,8 May 1826,vol. 15,0
94,See,for example,0
94,7 Dec. 1826,vol. 16,0
94,8 Dec. 1826,vol. 16,0
94,22 June 1825,vol. 13,0
95,Lee,Canning and Liberal Toryism,0
95,Gash,Lord Liverpool,0
95,Brock,Lord Liverpool and Liberal Toryism,0
96, Taylor,‘Hume and the Reformation of India’,1
96,BL,Bathurst Papers,0
97,BL,Bathurst Papers,1
98,29 Nov. 1819,vol. 41,0
98,See Hansard,2nd ser.,0
98,10 June 1819,vol. 40,0
98,also Hansard,2nd ser.,0
99,BL,Bathurst Papers,0
100,BL,Bathurst Papers,1
101,D3155/WH2863,Wilmot Horton to Granville Somerset,0
101,DRO,Catton Collection,0
101,also D3155/WH 3028,Granville Somerset to Wilmot Horton,0
101,D3155/WH 2876,Granville Somerset to Wilmot Horton,0
102,DRO,Catton Collection,0
103,D3155/WH 2876,Granville Somerset to Wilmot Horton,1
103,The term was explicitly employed by both men: DRO,Catton Collection,1
104,DRO,Catton Collection,1
105,Hansard,2nd ser.,0
105, Hansard,2nd ser.,0
105,7 Dec. 1826,vol. 16,0
106,The Times,21 June 1827,1
107,See,for example,1
107,27 May 1830,vol. 24,1
108,S. Pincus,T. Bains and A.Z. Reichardt,1
109,Laidlaw’s and Lester’s work demonstrated the importance of bringing metropolitan politics and bureaucracy,especially the workings of the Colonial Office ,1
109,Laidlaw,Colonial Connections. In other imperial contexts see,1
110,T. Ballantyne,Webs of Empire: Locating New Zealand’s Colonial Past ,1
110,T. Ballantyne,Orientalism and Race: Aryanism in the British Empire ,1
111, B. Porter,The Absent-Minded Imperialists: Empire,1
111,B. Porter,‘Further Thoughts on Imperial Absent-Mindedness’,1
111,J.M. MacKenzie,‘“Comfort” and Conviction: A Response to Bernard Porter’,0
111,K. McKenzie,‘Exit Pursued by a Bear: Oliver the Spy and the Imperial Context of British Political History’,1
112,Eddy,Britain and the Australian Colonies,1
