footnote,author,title,label
18,Notably M. Kohlrausch,Der Monarch im Skandal: Die Logik der Massenmedien und die Transformation der wilhelminischen Monarchie ,1
19,J. Street,ʻThe Celebrity Politician: Political Style and Popular Cultureʼ,1
20,Daily Mail,9 Mar. 1899,1
21,Nieuws van den Dag,21 Mar. 1899,1
21,L.H. Gann and P. Duignan,The Rulers of Belgian Africa,1
21, B. Williams,Cecil Rhodes ,1
21,Gazette de Charleroi,17 Mar. 1899,1
21,Brussels,Ministère des Affaires étrangères,1
21,J. Willequet,Le Congo belge et la Weltpolitik,1
21,Rhodes also found Leopold II to be the toughest person he ever negotiated with,in contrast to the subsequent meeting with Wilhelm II: see Review of Reviews,1
21,Daily Mail,21 Mar. 1899,1
22,Oxford,Bodleian Libraries [hereafter OBL],0
23,also Berlin,Politisches Archiv des Auswärtigen Amts [hereafter PA AA],0
23, OBL,MSS Afr. s. 228,0
23,Daily Telegraph,13 Mar. 1899,0
24,H. Pogge von Strandmann,ʻRathenau,0
24,Daily Telegraph,21 Mar. 1899,0
24,Daily Mail,13 Mar. 1899,0
25,later comments also show that Wilhelm II had actively reflected on public opinion here. On 27 May 1899,he wrote to Queen Victoria that ‘with utter disregard for public opinion—which was very sore about this—& in the teeth of a most violent opposition from all ranks of society in Germany I received Sir [sic] Cecil Rhodes’,1
25,also quoted in Röhl,Wilhelm II,1
25,In response to Bülow’s advice to receive Rhodes,Wilhelm II had scribbled on Bülow’s report of 23 Feb. 1899 that ‘it will create a splendid scandal among my dim-witted subjects,1
26,O.J. Hale,Publicity and Diplomacy: With Special Reference to England and Germany,1
26,a copy of this letter also exists in PA AA,R 14712. In addition,1
26, Wilhelm II,Ereignisse und Gestalten,1
26,the British poet Rudyard Kipling later even commented that Rhodes had been ‘overfascinated by the Kaiser’: OBL,MSS Afr. s. 8,1
27,Röhl,Wilhelm II,1
27,J.L. Garvin,The Life of Joseph Chamberlain,1
28,MSS Afr. s. 134,Williams 5: Cecil Rhodes materials ,0
28,OBL,MSS Afr. s. 8,0
28,MSS Afr. t. 11,Rhodes Papers,0
29,Kew,The National Archives [hereafter TNA],0
29,also T.E. Fuller,The Right Honourable Cecil John Rhodes: A Monograph and a Reminiscence ,0
29,Verhandlungen des Deutschen Reichstags,Reichstagsprotokolle,0
29,OBL,MSS Afr. s. 134,0
29,Daily Telegraph,22 Mar. 1899,0
29,OBL,MSS Afr. s. 228,0
30,Daily Mail,14 Mar. 1899,0
30,Daily Telegraph,18 Mar. 1899,0
30,Vingtième Siècle,16 Mar. 1899,0
31,PA AA,R 14712,1
31,even though the railway was also never completed,newspapers continued to publish maps with updates on the completed parts over the next decade,0
31,O. Hammann,Deutsche Weltpolitik,1
33,Daily News,13 Mar. 1899,0
33,Manchester Guardian,13 Mar. 1899,0
34,also T. Luykx,Evolutie van de communicatiemedia ,0
34,A.J. Lee,The Origins of the Popular Press in England,0
34,C.A. Bayly,The Birth of the Modern World,0
35,see,notably. Wired,0
35,G. Franck,Mentaler Kapitalismus: Eine politische Ökonomie des Geistes ,0
35,R. Lanham,The Economics of Attention: Style and Substance in the Age of Information ,0
36,Daily Mail,7 May 1899,1
37,Review of Reviews,May 1899,1
38,Daily Mail,3 May 1899,1
39,Daily Mail,14 Aug. 1899,1
40,Daily Mail,18 May 1899,1
41,Manchester Guardian,27 Mar. 1899,1
42,Berliner Zeitung,20 Mar. 1899,1
43,Peuple,12 Apr. 1899,0
44,Gazette,14 Apr. 1899,1
45,PA AA,R 5769,0
45,TNA,FO 800/6,0
45,PA AA,ʻAsservat No. 4ʼ,0
45,Garvin,Life of Joseph Chamberlain,0
46,Times,12 Apr. 1899,0
47,Times,12 Apr. 1899,0
48,Western Daily Press,18 Mar. 1899,1
49,Western Daily Press,18 Mar. 1899,1
50,War Against War!,31 Mar. 1899,1
51, Daily Telegraph,21 Mar. 1899,1
51,PA AA,ʻAsservat No. 4ʼ,1
51,Rhodes allegedly asked the Kaiser to meet him on his way back from Egypt: Rhodes to Wilhelm II,26 Feb. 1899,1
51,also PA AA,R 14712,1
51,Hammann,Deutsche Weltpolitik,1
53,H. von Eckardstein,Ten Years at the Court of St. James: 1895–1905 ,1
54,R.I. Rotberg,ʻDid Cecil Rhodes Really Try to Control the World?ʼ,1
54,E.g. Potter,‘Jingoism,1
54,Eckardstein,Ten Years at the Court of St. James,0
54,McFarlane,‘Historiography of Selected Works on Cecil John Rhodes’,1
54,A. Porter,ʻSir Alfred Milner and the Press,0
54,Laatste Nieuws,16 Mar. 1899,0
55,Berliner Tageblatt,16 Mar. 1899,0
56,Daily Mail,9 Apr. 1899,1
57,PA AA,R 14712,1
58,Hale,Publicity and Diplomacy,1
59,Hale,Publicity and Diplomacy,1
62,PA AA,R 19827,0
63,P. von Bülow,Memoirs: From Appointment as Secretary of State for Foreign Affairs to Morocco Crisis,1
64,e.g. U. Daniel,ʻDie Politik der Propaganda: Zur Praxis gouvernementaler Selbstrepräsentation vom Kaiserreich bis zur Bundesrepublikʼ,1
64,E.g. Laatste Nieuws,14 Mar. 1899,1
67,Daily Mail,28 Apr. 1899,1
68,Journal de Bruxelles,6 May 1899,1
69,Daily Telegraph,14 Mar. 1899,0
70,Fürst Bülows Reden: Nebst urkundlichen Beiträgen zu seiner Politik,ed. J. Penzler ,0
71,Times,21 Mar. 1899,0
72,Times,17 Mar. 1899,0
73,Standard,13 Mar. 1899,1
73,TheStandard,22 Mar. 1899,1
74,Laatste Nieuws,26 Mar. 1899,1
75,Vorwärts,4 Apr. 1902,0
76,Daily Mail,30 Apr. 1899,1
77,Berliner Morgenpost,14 Mar. 1899,1
78,E.g. Daily Telegraph,16 Mar. 1899,1
78,TheTimes,16 Mar. 1899,1
79,Daily Mail,22 Mar. 1899,0
79,Journal de Bruxelles,13 Mar. 1899,0
80,Handelsblad,18 Mar. 1899,1
81,ʻPorträts vom Tageʼ,Berliner Illustrirte Zeitung,0
82,Daily Mail,29 Mar. 1899,1
83,National-Zeitung,10 Mar. 1899,0
83,Meuse,16 Mar. 1899,0
83,Indépendance Belge,16 Mar. 1899,1
85,Saturday Review,6 May 1899,1
85,Review of Reviews,May 1899,1
87,Berliner Tageblatt,14 Mar. 1899,1
88,E.g. Journal de Bruxelles,15 Mar. 1899,1
88,Journal de Bruxelles,15 Mar. 1899,1
89,Times,20 Mar. 1899,1
90,in a different manner,Wilhelm II also saw his meeting with Rhodes as avenging himself in light of the European obsession with his telegram to Kruger over the past years: see PA AA,1
90,Quoted in Reinermann,Der Kaiser in England,1
91,Review of Reviews,Apr. 1899,1
93,In response to Rhodes’s request for a railway to cross German East Africa,an article ,1
95,PA AA,R 14712,0
96,Vingtième Siècle,8 June 1899,0
98,Berliner Zeitung,17 Mar. 1899,1
99,Journal de Charleroi,19 Mar. 1899,1
101,Hale,Publicity and Diplomacy,0
102,ʻDie größte Gemeinheitʼ,Simplicissimus,1
103,St. Petersburger Herold,19 Mar. 1902,1
104,Daily Telegraph,13 Mar. 1899,1
105,Daily Telegraph,14 Mar. 1899,1
105,Berliner Tageblatt,21 Mar. 1899,1
105,Hale,Publicity and Diplomacy,1
105,The Times,18 Mar. 1899,1
105,Outlook,25 Mar. 1899,1
106,Times,27 Mar. 1899,0
107,Handelsblad,20 Apr. 1899,0
108,Daily Mail,11 Apr. 1899,1
110,D. Pels and H. te Velde,ʻPolitieke Stijl in Perspectiefʼ,0
113,York Herald,7 Apr. 1899,1
115,Review of Reviews,Apr. 1899,1
116,Speaker,18 Mar. 1899,1
118,Temps,18 Mar. 1899,0
119,Beira Post,21 Mar. 1899,0
121,Saturday Review,29 Apr. 1899,1
122,National-Zeitung,10 Mar. 1899,0
124,Daily Mail,28 Apr. 1899,1
124,The Times,3 May 1899,1
124,Daily Mail,29 Apr. 1899,1
125,Daily Mail,12 Apr. 1899,0
125,Daily Mail,19 July 1899,0
127,Manchester Guardian,7 Apr. 1899,0
128,The Times,19 July 1899,1
128,Speaker,6 May 1899,1
128,C. Nuys,Cecil Rhodes ,1
131,Berliner Tageblatt,16 Mar. 1899,1
132,Daily Mail,12 May 1899,0
134,Review of Reviews,Nov. 1899,1
134,Indépendance Belge,7 May 1899,1
134,The Times,12 June 1899,1
135,Nottingham Evening Post,21 Mar. 1899,1
